probe_id,query,entrezgene,name,symbol,alias,taxid,HGNC,gene,gene_unique
208945_s_at,BECN1,8678,beclin 1,BECN1,"ATG6, VPS30, beclin1",9606,HGNC:1034,BECN1,BECN1
201170_s_at,BHLHE40,8553,basic helix-loop-helix family member e40,BHLHE40,"BHLHB2, Clast5, DEC1, HLHB2, SHARP-2",9606,HGNC:1046,BHLHE40,BHLHE40
211725_s_at,BID,637,BH3 interacting domain death agonist,BID,FP497,9606,HGNC:1050,BID,BID
202076_at,BIRC2,329,baculoviral IAP repeat containing 2,BIRC2,"API1, HIAP2, Hiap-2, MIHB, RNF48",9606,HGNC:590,BIRC2,BIRC2
202095_s_at,BIRC5,332,baculoviral IAP repeat containing 5,BIRC5,"API4, EPR-1",9606,HGNC:593,BIRC5,BIRC5
201032_at,BLCAP,10904,BLCAP apoptosis inducing factor,BLCAP,BC10,9606,HGNC:1055,BLCAP,BLCAP
202179_at,BLMH,642,bleomycin hydrolase,BLMH,"BH, BMH",9606,HGNC:1059,BLMH,BLMH
201729_s_at,KIAA0100,9703,bridge-like lipid transfer protein family member 2,BLTP2,"BCOX, BCOX1, CT101, FMP27, Hob",9606,HGNC:28960,KIAA0100,KIAA0100
211729_x_at,BLVRA,644,biliverdin reductase A,BLVRA,"BLVR, BVR, BVRA",9606,HGNC:1062,BLVRA,BLVRA
211518_s_at,BMP4,652,bone morphogenetic protein 4,BMP4,"BMP2B, BMP2B1, MCOPS6, OFC11, ZYME",9606,HGNC:1071,BMP4,BMP4
201849_at,BNIP3,664,BCL2 interacting protein 3,BNIP3,"HABON, NIP3",9606,HGNC:1084,BNIP3,BNIP3
221478_at,BNIP3L,665,BCL2 interacting protein 3 like,BNIP3L,"BNIP3a, NIX",9606,HGNC:1085,BNIP3L,BNIP3L
